TSP_75_3.dat,75,60 sec,51.6793 sec,Optimal,389.0620
TSP_75_4.dat,75,1 sec,1.0104 sec,Feasible,1319.4935
TSP_75_4.dat,75,10 sec,10.0252 sec,Feasible,552.9256
TSP_75_4.dat,75,30 sec,30.0244 sec,Feasible,451.1586
TSP_75_4.dat,75,60 sec,60.0304 sec,Feasible,444.8608
TSP_75_4.dat,75,120 sec,63.7516 sec,Optimal,444.3585
TSP_75_5.dat,75,1 sec,1.0107 sec,Feasible,1158.4734
TSP_75_5.dat,75,10 sec,10.0316 sec,Feasible,533.9445
TSP_75_5.dat,75,30 sec,30.0391 sec,Feasible,458.2926
TSP_75_5.dat,75,60 sec,34.0651 sec,Optimal,458.2926
TSP_75_6.dat,75,1 sec,1.0139 sec,Feasible,1591.8847
TSP_75_6.dat,75,10 sec,10.0198 sec,Feasible,577.7397
TSP_75_6.dat,75,30 sec,30.0305 sec,Feasible,577.7397
TSP_75_6.dat,75,60 sec,52.7740 sec,Optimal,475.2658
TSP_75_7.dat,75,1 sec,1.0251 sec,Feasible,1492.1890
TSP_75_7.dat,75,10 sec,10.0249 sec,Feasible,623.1681
TSP_75_7.dat,75,30 sec,30.0311 sec,Feasible,417.7575
TSP_75_7.dat,75,60 sec,40.6911 sec,Optimal,415.6373
TSP_75_8.dat,75,1 sec,1.0429 sec,Feasible,1341.8736
TSP_75_8.dat,75,10 sec,10.0205 sec,Feasible,611.0727
TSP_75_8.dat,75,30 sec,30.0282 sec,Feasible,445.3625
TSP_75_8.dat,75,60 sec,51.7496 sec,Optimal,417.5275
TSP_75_9.dat,75,1 sec,1.0298 sec,Feasible,1332.3518
TSP_75_9.dat,75,10 sec,10.0193 sec,Feasible,581.9756
TSP_75_9.dat,75,30 sec,30.0373 sec,Feasible,449.0168
TSP_75_9.dat,75,60 sec,43.3595 sec,Optimal,449.0168
TSP_100_1.dat,100,1 sec,1.0147 sec,Feasible,1859.4852
TSP_100_1.dat,100,10 sec,10.0569 sec,Feasible,812.8012
TSP_100_1.dat,100,30 sec,31.5660 sec,Feasible,575.2419
TSP_100_1.dat,100,60 sec,60.0495 sec,Feasible,551.7561
TSP_100_1.dat,100,120 sec,120.0306 sec,Feasible,517.1964
TSP_100_1.dat,100,300 sec,121.7011 sec,Optimal,517.1964
TSP_100_2.dat,100,1 sec,1.0151 sec,Feasible,1579.5440
TSP_100_2.dat,100,10 sec,10.0158 sec,Feasible,836.5979
TSP_100_2.dat,100,30 sec,30.1112 sec,Feasible,836.5979
TSP_100_2.dat,100,60 sec,60.2576 sec,Feasible,504.9482
TSP_100_2.dat,100,120 sec,120.0497 sec,Feasible,479.1978
TSP_100_2.dat,100,300 sec,300.0476 sec,Feasible,473.2960
TSP_100_3.dat,100,1 sec,1.0222 sec,Feasible,1784.1474
TSP_100_3.dat,100,10 sec,10.1491 sec,Feasible,910.8624
TSP_100_3.dat,100,30 sec,30.0316 sec,Feasible,910.2184
TSP_100_3.dat,100,60 sec,60.0432 sec,Feasible,910.2184
TSP_100_3.dat,100,120 sec,120.0332 sec,Feasible,571.8121
TSP_100_3.dat,100,300 sec,184.6020 sec,Optimal,491.1374
TSP_100_4.dat,100,1 sec,1.0118 sec,Feasible,1592.8707
TSP_100_4.dat,100,10 sec,10.0222 sec,Feasible,658.7710
TSP_100_4.dat,100,30 sec,30.5145 sec,Feasible,609.9025
TSP_100_4.dat,100,60 sec,60.0478 sec,Feasible,506.5066
TSP_100_4.dat,100,120 sec,120.0308 sec,Feasible,506.1950
TSP_100_4.dat,100,300 sec,140.4908 sec,Optimal,480.4839
TSP_100_5.dat,100,1 sec,1.0377 sec,Feasible,1458.2235
TSP_100_5.dat,100,10 sec,10.0210 sec,Feasible,834.0529
TSP_100_5.dat,100,30 sec,31.1143 sec,Feasible,823.6652
TSP_100_5.dat,100,60 sec,60.0387 sec,Feasible,555.5668
TSP_100_5.dat,100,120 sec,120.2293 sec,Feasible,555.3637
TSP_100_5.dat,100,300 sec,144.6668 sec,Optimal,541.8146
TSP_100_6.dat,100,1 sec,1.0195 sec,Feasible,1534.8214
TSP_100_6.dat,100,10 sec,10.4829 sec,Feasible,687.1978
TSP_100_6.dat,100,30 sec,30.0390 sec,Feasible,686.8297
TSP_100_6.dat,100,60 sec,60.0564 sec,Feasible,603.9285
TSP_100_6.dat,100,120 sec,120.3188 sec,Feasible,536.9845
TSP_100_6.dat,100,300 sec,191.0833 sec,Optimal,477.2790
TSP_100_7.dat,100,1 sec,1.0361 sec,Feasible,1792.4031
TSP_100_7.dat,100,10 sec,10.1240 sec,Feasible,887.8424
TSP_100_7.dat,100,30 sec,30.0509 sec,Feasible,797.0106
TSP_100_7.dat,100,60 sec,60.0497 sec,Feasible,524.2325
TSP_100_7.dat,100,120 sec,120.0249 sec,Feasible,511.9271
TSP_100_7.dat,100,300 sec,200.8718 sec,Optimal,502.4607
TSP_100_8.dat,100,1 sec,1.0200 sec,Feasible,1870.0924
TSP_100_8.dat,100,10 sec,10.0270 sec,Feasible,992.9269
TSP_100_8.dat,100,30 sec,30.0370 sec,Feasible,992.9269
TSP_100_8.dat,100,60 sec,60.0659 sec,Feasible,577.8256
TSP_100_8.dat,100,120 sec,88.9921 sec,Optimal,478.1800
TSP_100_9.dat,100,1 sec,1.0152 sec,Feasible,1996.9046
TSP_100_9.dat,100,10 sec,10.0219 sec,Feasible,740.6538
TSP_100_9.dat,100,30 sec,30.0269 sec,Feasible,740.6538
TSP_100_9.dat,100,60 sec,60.0634 sec,Feasible,740.6538
TSP_100_9.dat,100,120 sec,120.0594 sec,Feasible,629.1568
TSP_100_9.dat,100,300 sec,201.8372 sec,Optimal,503.1572
